epoch,val_loss,accuracy,sensitivity,specificity,roc_auc
1,0.20514247945304645,0.770124867162593,0.770124867162593,1.0,0.8587998468989966
2,0.20316680179814162,0.7553799149840595,0.7553799149840595,1.0,0.8648562655326049
3,0.19443909666043216,0.7606269925611052,0.7606269925611052,1.0,0.8717768412042735
4,0.20538955440713189,0.7940356004250797,0.7940356004250797,1.0,0.8650977791190055
5,0.21089920098498716,0.6851089266737513,0.6851089266737513,1.0,0.8674739377026505
6,0.22865947026569963,0.3740037194473964,0.3740037194473964,1.0,0.8490082824840297
7,0.22742590731230833,0.35945802337938365,0.35945802337938365,1.0,0.8497108808657112
8,0.22748176103173676,0.35348034006376194,0.35348034006376194,1.0,0.8498731622113598
9,0.2269482531158601,0.35514080765143463,0.35514080765143463,1.0,0.8490584317629604
10,0.22772324135748007,0.35540648246546225,0.35540648246546225,1.0,0.8484492182766817
